CONTROL NUMBER,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS,GENDER,AGE,COMMENTS
2767429,,FEMALE,2,,MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,
2767192,"Both boys are into monster trucks ; hot wheels ; Dinosaurs ; And bluey; ",MALE,5,,MALE,2,,,,,,,,,,,,,,,,,,,,,,,,,
2766836,Slime pokeman cards lego sets stem items mindcraft things,MALE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766350,"Skates; lol dolls ; Art stuff ; Barbie ; Helmet knee pads ",FEMALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765972,Loves animals and Barbies ,FEMALE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765859,Dolls games dress up,FEMALE,6,,FEMALE,4,,,,,,,,,,,,,,,,,,,,,,,,,
2765835,He loves legos starwars and those fidget squish toys,MALE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765620,"Jonas Reyes-Garcia (male age 11)- soccer legos reading sketching; Joel Reyes-Garcia (male age 11)- soccer legos reading fishing.; Luna Reyes-Garcia (female age 6)- Disney Princesses singing dancing girly things.",MALE,11,soccer  legos  reading  sketching,MALE,11,soccer  legos  reading  fishing,FEMALE,6,Disney Princesses  singing  dancing  girly things.,,,,,,,,,,,,,,,,,,,,,
2764475,Arts and crafters to make such as candle making or jewelry making,FEMALE,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760310,Bike basketball gift card clothes shoes,MALE,10,Just anything you guys can afford he will a 42 9 1/2 men heystable place to stay full jacket clothes counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760975,Toy Clothes Shoes,MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707286,,FEMALE,13,Barbie doll house Lilo and stitch,MALE,6,Sonic games and toys train track race track Spiderman basketball,FEMALE,5,Minnie mouse toys doll house Bluey toys and games leap frog learning games,,,,,,,,,,,,,,,,,,,,,
2707403,"12 year old boy- Legos STEM kits science and building sets skate board roller blades bicycle board games soccer goals football; 10 year old boy-   Legos STEM kit skate board roller blades bicycle soccer ball soccer goals  ; 8 year old girl-; Art set crafts roller skates  gymnastic toys makeup sets purses and hair styling tools; 4 year old boy- coding robot roller blades kids camera Lego STEM kit building blocks",MALE,12,Legos  STEM kits  science and building sets skate board  roller blades  bicycle  board games  soccer goals  football,MALE,10,Legos  STEM kit  skate board  roller blades  bicycle  soccer ball  soccer goals,FEMALE,8,Art set  crafts  roller skates   gymnastic toys  makeup sets  purses  and hair styling tools,MALE,4,coding robot  roller blades  kids camera  Lego  STEM kit  building blocks,,,,,,,,,,,,,,,,,,
2718141,K pop demon hunter toys Barbie Slime Board Games Soccer Ball roller skates size 1,FEMALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718138,Barbie Generation Toys Slime & Sports Toys.,FEMALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718063,Any toys with lights or learning toys. Soft blankets. Mrs.rachel toys . A mini trampoline ,MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717940,,MALE,7,Video Games  Bike  Funko Pop,FEMALE,6,Mini Brands  Slime  Playdoh  Craft Set  Make-Up,FEMALE,1,Mickey Mouse Club House  Pretend Play toys  Learning Toys,,,,,,,,,,,,,,,,,,,,,
2717545,"Art suppliesbarbieslittle shopkins help; Hello kitty",FEMALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717489,,FEMALE,8,Bluey stuff  slime  jewelry making arts and crafts painting,MALE,12,Baseball gloves  football  basketball  sport cards,FEMALE,13,Music instrument  drawing anime  creativey,,,,,,,,,,,,,,,,,,,,,
2717411,spider man mine craft bluey ninja turtles and hot wheels. ,MALE,4,,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,
2717360,clothes 6t for boys socks or shoes airplane that can flyhe anything really game boy,MALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717150,2 girls   age 9 and 5.  Older into arts and crafts  younger is into disney princess stuff.,FEMALE,9,,FEMALE,5,,,,,,,,,,,,,,,,,,,,,,,,,
2714998,,MALE,9,,FEMALE,8,,FEMALE,12,,,,,,,,,,,,,,,,,,,,,,
2714542,My daughter is 12 and likes arts and crafts and anime and makeup. My son is 10 and likes video games and anime and sports my 8 year old 7 year old and 5 year old all love heroâ€™s sports games anime,FEMALE,12,,MALE,10,,MALE,8,,MALE,7,,MALE,5,,,,,,,,,,,,,,,,
2714533,"Ella- art drawing night before Christmas hello kitty makeup blankets cute pjs womanâ€™s large converse womanâ€™s 9 over ear headphones. Skateboard. ; Liam- Minecraft Lego or anything Minecraft any Lego scooter Harry Potter any kind of remote control toy robot transformers",FEMALE,12,,MALE,6,Bad allergies to stuffed animals,,,,,,,,,,,,,,,,,,,,,,,,
2714462,"learning blocks  clothes 18-24 months balls  bath toys  shoes 5c; blanket",MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714349,A bicycle for a 3-year-old shoes and clothes,FEMALE,3,Clothes size four and five,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713358,Brody sprays trendy tote bags skinny jeans oak shoes hair accessories magic pajamas jewelry headphones speaker hydro water bottle ,FEMALE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716170,Minecraft gaming anything for fishing or to do with fishing clothes 14 16 anime and building crafts or lego,MALE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713073,"Maliyah nail and hair things; Madilyn hair ; nail polish art ; supplies; Mallie bike art things baby dolls; ; Marley razor scooter ; Mallie-play kitchen supplies ",FEMALE,12,Nail  hair supplies  clothes,FEMALE,10,Art supplies  hair nail things,FEMALE,4,Razor scooter  baby dolls  slime,FEMALE,4,Slime  play kitchen supplies art things,,,,,,,,,,,,,,,,,,
2712583,,MALE,13,He loves Drawing  video games and mickey mouse,FEMALE,10,She love to Draw  slime and dolls,,,,,,,,,,,,,,,,,,,,,,,,
2712486,Toys n clothes ,FEMALE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712150,,FEMALE,10,,MALE,4,,FEMALE,3,,,,,,,,,,,,,,,,,,,,,,
2712119,"Flynn likes PokÃ©mon and Minecraft ; Ryder likes mickey bluey and Pikachu ; Nidina likes girly things like princesses purses and stuff like that ",MALE,6,,MALE,4,,FEMALE,1,20 months for Christmas,,,,,,,,,,,,,,,,,,,,,
2712102,"Javier (6 months on Christmas) any learning toys would be great.; Juliana (12 on Christmas) would like tablet spa things or gift card to fast food.",MALE,0,,FEMALE,12,,,,,,,,,,,,,,,,,,,,,,,,,
2711043,"10 year old is interested in drawing makeup and softball soft blankets pillows.; 6 year old is interested in softball gymanastics Space; Playdoh slime costume jewlery and makeup anything dressup sensory toys; 2 year old is interested in drawing coloring anything Bluey music and dancing.; 6 month old is teething and starting to crawl no real interests.",FEMALE,10,,FEMALE,6,,FEMALE,2,,FEMALE,0,,,,,,,,,,,,,,,,,,,
2710877,Monster trucks paw patrol dinosaurs sensory toys outdoor toys,MALE,7,Autistic  loves soft things,,,,,,,,,,,,,,,,,,,,,,,,,,,
2861344,,MALE,11,Gaming Chair   or desk   Basket ball Elec scooter,FEMALE,8,Baby Alive   Lol Dolls any books,FEMALE,5,Dolls. Makeup kit,FEMALE,2,Dolls   toy ride toy  ,MALE,2,Balls   toy cars   boat,,,,,,,,,,,,,,,
2710557,"Anything for 4 year old girl ; Barbie  6T clothing  blanket for school. She likes Barbieâ€™s any type of dolls. She likes puzzles she likes slime play doh",FEMALE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710540,,MALE,2,Trucks  Cars,FEMALE,0,She is 3months so baby toys,,,,,,,,,,,,,,,,,,,,,,,,
2709724,No preference we appreciate the blessings! ,FEMALE,8,She is a girly girl and loves all things pink  baby dolls  barbies etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769149,,FEMALE,10,Kids make up  Barbie dolls  board games,FEMALE,9,Make up  baby dolls,MALE,5,Paw patrol  spider man ,MALE,4,Ninja turtles  spider man  venom,FEMALE,2,Minnie Mouse,,,,,,,,,,,,,,,
2709344,"Football; Sports ; Arts and crafts ",MALE,4,,MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,
2709289,princess crafts unicorns Barbie sparkly purple items painting sports,FEMALE,7,princess  crafts  unicorns  Barbie  sparkly purple items  painting  sports,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709037,"Teethers rattles walking toys ball pit ; Grateful for anything..",FEMALE,0,10 months old,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709003,Barbies coloring books animals princess ,FEMALE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764190,We are a 9 mos old Boy.  We would be blessed with age appropriate toys or clothes...,MALE,0,9 mos boy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763940,learning toys ,MALE,1,twins 15 months,FEMALE,1,hygiene products   clothes if able,,,,,,,,,,,,,,,,,,,,,,,,
2763789,"Art; Barbies; Books",FEMALE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761113,,FEMALE,7,Dolls- scooter,MALE,,TRANSFORMERS- WWE WRESTLING- BASKETBALL,FEMALE,8,MAKEUP ,MALE,4,CARS- DINOSAURS,,,,,,,,,,,,,,,,,,
2763163,,FEMALE,3,Toy story  books  educational toys  bike,FEMALE,0,Rattle toys  6months+ toys  soft blanket,,,,,,,,,,,,,,,,,,,,,,,,
2762875,,FEMALE,10,Super girly,FEMALE,8,,FEMALE,6,,MALE,3,,,,,,,,,,,,,,,,,,,
2762388,,MALE,3,No preference,MALE,12,Gamer,,,,,,,,,,,,,,,,,,,,,,,,
2762265,All the toys inquired in this application is to assist in improving his daily functioning.,MALE,4,Yes  child has special needs and the toys he would like to have are Mickey Mouse  books  educational toys  educational games  he likes arts and crafts  science kits  balls  interactive toys and games  blankets  etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762035,Roblox Minecraft Lanky Box Video games Legos Blocks Super Mario A Bicycle Coloring books crayons play dough robots sensory toys,MALE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761785,My son is 7 heâ€™s autistic,MALE,7,Likes video games,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761758,My children are requesting gift cards to Walmart and Amazon this year. If you can provide that that would be a blessing thank you.,FEMALE,14,Walmart and Amazon gift cards,FEMALE,14,Walmart gift card and Amazon gift cards  please,FEMALE,11,Walmart gift cards  and Amazon gift cards  please,FEMALE,8,Bicycle gift cards to Walmart and Amazon please,,,,,,,,,,,,,,,,,,
2762122,"Bikes outside toys arts and crafts spider-man paw patrol make up k-pop demon hunters nentindo switch 2 games scooters dolls for boys and girls (Ken and barbi) coloring books books to read. Queen size bed set Face masks.; ; Thank you all so much!",MALE,6,Strech toys  bike  scooter  skates  big trucks,FEMALE,14,make up  body wash  hair stuff  face masks,MALE,13,Game chair  board games  outside toys,FEMALE,11,Queen bed set  make up  hair stuff  very girly girl,,,,,,,,,,,,,,,,,,
2761904,,FEMALE,14,,FEMALE,13,,MALE,10,Gaming  Football  soccer,MALE,9,Gaming  Football  soccer,FEMALE,10,Girly  babies  barbies makeup,FEMALE,9,,,,,,,,,,,,,
2749027,,MALE,14,Floro Carbon leader 30-60lb  harry goodies fishing stuff. Tackle box  pool stick  darts  scissors  pliers  measuring tape for fish  bubbler  cast net  batteries  pillows  queen blanket  led lights  fish tank filter  sneakers sz 11,FEMALE,13,Body spray  candles  room decor  lights  hair products  shampoo  face creams  perfume  makeup  gold hoop earrings small  gold bead bracelets stretchy  Birkenstock Sandles lookalikes  Sz small shirts holister carry on suitcase  used is perfect  body wash and sprays  gel UV Nail lamp  nail accessories  gel polish  nail kit  soaps ,MALE,7,Fishing rod  soccer cleats  soccer ball  rocket league backpack  chain necklace  cool blanket  water bottle thermos  heelies  hot wheels  slime  kinetic sand tech deck  hot wheels  bay blades  games  PokÃ©mon cards  cornhole  soccer goal  ,,,,,,,,,,,,,,,,,,,,,
2760874,"Javier bike blocks cars; Angel baby toys walker music and sounds; Faith bike disney",MALE,4,Mild austism,MALE,0,Love music and sounds,FEMALE,3,Speech delay  loves disney,,,,,,,,,,,,,,,,,,,,,
2764671,Monster Trucks Race Cars basketball hoopFootball Soccer ball Barbies Dolls Hair bows bikes scooters Helmets slime legos anything with wheels,MALE,5,Loves monster trucks  sports and cars,FEMALE,6,Roller skates  barbies and barbie house  hair bows,,,,,,,,,,,,,,,,,,,,,,,,
2768999,girl 9 years old...likes decendants zombies kpop demon hunters,FEMALE,9,Likes music  Disney decendants   zombies  kpop demon hunters. Notebooks  cute pens  our generation accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760076,He like football basketball ping pong darts  mind puzzles ,MALE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759574,"legos; dolls ; learning toys; magnetic titles ; blocks; ",FEMALE,4,,MALE,7,,,,,,,,,,,,,,,,,,,,,,,,,
2759308,dinosaur and scooter thank you,MALE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759259,,FEMALE,8,Babys  arts and crazy  tablet,FEMALE,7,Educacional toy  puzzle  arts and craft,FEMALE,0,Educacional toy  puzzle  arts and craft,MALE,3,Trucks  bike  spiderman,FEMALE,1,Educacional  enteratiment center baby toys,,,,,,,,,,,,,,,
2759223,Puzzles dinosaurs bluey cars bicycles bubbles toys superheroes learning toys food toys,MALE,6,,MALE,4,,,,,,,,,,,,,,,,,,,,,,,,,
2758970,Bluey toys Legos STEM toys engineering barbies hot wheels Minecraft roblox magnets art and crafts Gabby''s dolls house electronic toys peppa pig,MALE,8,,FEMALE,4,,,,,,,,,,,,,,,,,,,,,,,,,
2758530,,MALE,14,Sports,MALE,13,,MALE,10,,MALE,8,,,,,,,,,,,,,,,,,,,
2758314,,MALE,9,,MALE,8,,,,,,,,,,,,,,,,,,,,,,,,,
2758149,Crafting and Creating,FEMALE,14,Loves to create and craft  aerial/gymnastics,MALE,4,Loves everything  asked for a drone and a nerf bow and arrow,,,,,,,,,,,,,,,,,,,,,,,,
2757466,"Crayola art sets (washable markers crayons paint etc.); Play-Doh kits (ice cream shop bakeryetc.); Sticker books or reusable sticker scenes; Jewelry-making or bead kits (safe for kids); Kidsâ€™ camera (instant print or digital); Barbie or LOL dolls; Dollhouse with accessories; Dress-up costumes (princess doctor superhero etc.); Play kitchen or tea set; Toy cash register or grocery store set; Baby doll with stroller or feeding s; Scooter (with helmet!); Bubble machine or bubble wand; Sidewalk chalk set; Jump rope or hula hoop; Mini trampoline; Water table or sand tableMarvel Iron?Man & His Awesome Friends Plush 6-Pc Pack: Soft plush versions of favorite heroes â€” good for cuddly play plus pretend-rescue missions.Spidey & His Amazing Friends Web Climber Vehicle: A toy vehicle tied to his superhero interest â€” adds variety beyond figures.",FEMALE,5,,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,
2754299,,FEMALE,6,Baby dolls- dress up,MALE,13,HEADPHONES,,,,,,,,,,,,,,,,,,,,,,,,
2756504,Anything would be a blessing,MALE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756435,Jayziany is 8 and likes Barbie''s and art stuff and bubbles Carmelianyis7 likes art stuff and puzzles Kebdiel is 3 likes cars and paintings and the baby is 1 and likes musics toys learning toys,FEMALE,8,She likes mermaid barbies and painting  and bubbles,FEMALE,7,She likes art and puzzles bubbles,MALE,3,Cars Batman and painting bubbles,FEMALE,1,Musics toys or learning toys,,,,,,,,,,,,,,,,,,
2756378,Sports skates balls dolls barbies slime playdoh kitchen doctor blankets headphones bike,FEMALE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756108,,FEMALE,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2753486,Barbie Doll Diary note book story book sketch book. Roller skate blade,FEMALE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753826,,FEMALE,7,Make up hair  accessory  and dolls,FEMALE,4,Regular and stitch coloring,MALE,2,Trucks,MALE,8,PokÃ©mon and Minecraft,MALE,5,Ninja and Minecraft,,,,,,,,,,,,,,,
2753997,,MALE,3,Cars  monster trucks  balls  dinosaurs  coloring books,MALE,2,Cars  trucks  balls  coloring books,MALE,0,6 months old. Baby toys  diapers size 3,FEMALE,8,Anything girly  Barbie dolls  arts and crafts stuff  books,,,,,,,,,,,,,,,,,,
2754092,"FOR my 3 year old he likes spiderman paw patrol and monster trucks; ; My youngest will be 1 before Christmas and likes anything that lights up and sing and make noise",MALE,3,spiderman  paw patrol  and monster trucks,MALE,1,anything that lights up and sing and make noise,,,,,,,,,,,,,,,,,,,,,,,,
2754682,,FEMALE,12,Purple  butterflies  glow in the dark  purple decor for bedroom  games for fortnite  arts and crafts,FEMALE,10,Pink  unicorns  minecraft and Roblox  girlie stuff  art and crafts,,,,,,,,,,,,,,,,,,,,,,,,
2754704,loves arts and crafts hello kitty and friends especially cinnamoroll and stitch. no dolls barbies. also loves anything miniature. and kitchen pretend play.,FEMALE,8,loves arts and crafts  hello kitty and friends and stitch. no dolls.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754974,Anything Barbie or LOL doll. and baby toys,FEMALE,10,,FEMALE,0,,,,,,,,,,,,,,,,,,,,,,,,,
2755474,Dollsscooter,FEMALE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755543,Minecraft Fortnite projection lights drones light up wall signs gaming fidget toys. Fluorescent green is a favorite color.,MALE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755575,My son is into learning and video games. My baby is soon to be 1 and can use learning toys,MALE,9,Science  video games,FEMALE,1,Anything for the first years,,,,,,,,,,,,,,,,,,,,,,,,
2755734,My 14 year old loves to draw and makeup and music.my 9 year old loves barbies.bikes and dress up and food play,FEMALE,14,Loves art music and make up,FEMALE,9,Loves barbies .cooking .bikes,,,,,,,,,,,,,,,,,,,,,,,,
2743259,Anime Lego sets Room decor Teenage girl things makeup body sprays etc,MALE,13,Anime (Demon slayer  Chainsaw man  One piece) Figures  Roblox gift cards,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730232,,MALE,4,Spiderman toys  cars. action figures  coloring books  learning games,FEMALE,7,Anything Barbie  hair styling kits  dress up sets,FEMALE,8,Anything arts and craft  Bracelet makers  stress books and colorful pens,,0,Anything arts and craft  Bracelet makers  stress books and colorful pens,,,,,,,,,,,,,,,,,,
2728857,,FEMALE,6,She likes princess,FEMALE,5,She likes princess,FEMALE,4,Dinosaurs and princess,FEMALE,1,Baby toys,,,,,,,,,,,,,,,,,,
2664742,Dolls bikes music stuff crafts books ,FEMALE,11,,MALE,8,,FEMALE,6,,FEMALE,4,,,,,,,,,,,,,,,,,,,
2748548,,MALE,13,,FEMALE,12,,,,,,,,,,,,,,,,,,,,,,,,,
2728126,Bicycles or scooters,MALE,8,,MALE,14,,,,,,,,,,,,,,,,,,,,,,,,,
2738791,Barbie spiderman make up hair products blu,FEMALE,10,Barbie,FEMALE,9,Make up,FEMALE,10,Hair supply,MALE,3,Spiderman,,,,,,,,,,,,,,,,,,
2681663,,FEMALE,2,,FEMALE,2,,FEMALE,13,,,,,,,,,,,,,,,,,,,,,,
2721227,Anything is a blessing  but for my youngest sheâ€™s special needs and functions mentally on a lower age bracket ,FEMALE,11,She loves Babies   baby dolls   baby doll sets or a stroller and thatâ€™s all sheâ€™s been asking for is baby doll stuff like play bottles etc,FEMALE,14,She loves Art   arts and crafts especially drawing sets or books and designing clothes she quite the artist,,,,,,,,,,,,,,,,,,,,,,,,
2762328,"Barbies gabby doll house; Pokemon and legos ",UNISEX,10,Pokemon and art,MALE,8,Legos pokemon nerf balls,FEMALE,4,Barbies  Gabby doll house,,,,,,,,,,,,,,,,,,,,,
2782816,,MALE,13,Space   coloring   stitch  states   maps,MALE,11,Fort night   bike   football cars  sports,FEMALE,9,Bluey   bike   dolls   coloring,,,,,,,,,,,,,,,,,,,,,
2782821,,FEMALE,9,Bike   dolls   makeup  coloring. lol dolls   stitch,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782449,"Hygiene kit; Steam ; Gardening plants and seeds robots fishing camping outside toys",MALE,11,Science hygiene hygiene  body wash kites airplanes art fishing,MALE,9,Robots remote control  autistic child electronics building sensory toys,FEMALE,4,Garden Anything girl coloring box make up hair  suppliesfavorite color  pink and yellow,,,,,,,,,,,,,,,,,,,,,
2783542,Power rangers legos ninjago action figures superheroes remote control cars or helicopters,MALE,8,,MALE,13,,,,,,,,,,,,,,,,,,,,,,,,,
2784237,,FEMALE,3,Play kitchen  kitchen food  shopping cart  riding toy,FEMALE,0,baby einstein  fisher price  musical and learning toys  activity gym,FEMALE,6,baby dolls  disney princess  Baby crib  bike,,,,,,,,,,,,,,,,,,,,,
2784398,,FEMALE,10,Pink  preteen  accessories,FEMALE,3,Dolls  Loves physical play  learning,FEMALE,0,9 months old. Light up toys,FEMALE,5,,,,,,,,,,,,,,,,,,,
2784529,,FEMALE,0,Toys for 9 months plus please,FEMALE,2,,,,,,,,,,,,,,,,,,,,,,,,,
2784538,,FEMALE,4,,FEMALE,1,,,,,,,,,,,,,,,,,,,,,,,,,
2784977,,MALE,0,6+ month baby- Baby toys clothes pacifier sensory toys walker bumbo chair stuffed animal  blanket bouncer,FEMALE,13,Art supplies paint sloth sewing doll book series,FEMALE,6,Art supplies colored pencils crayons paint playdoh clay dolls basketball soccer jump rope hula hoop water coloring books,,,,,,,,,,,,,,,,,,,,,
2784037,,MALE,9,Art supplies- Markers- crayons- color pencil- sketchpad. ~walkie Talkie. ~remote control car. ~legos ~stuffies ~soccer ball- football- scooter ),MALE,6,Art supplies- Markers- crayons- color pencil- sketchpad. ~walkie Talkie. ~remote control car. ~legos ~stuffies ~soccer ball- football- scooter,FEMALE,3,aw patrol- Skye ~ scooter~ tricycle ~baby dolls ~art supplies~stickers~baby stroller set~mini karaoke machine~ mini mouse toys~ soft blanket~ pretend food- pots- plate set,,,,,,,,,,,,,,,,,,,,,
2785760,He likes motorcycles cars and trains. He is on the spectrum so he is not too picky. He loves playing outside swimming and building things. ,MALE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785928,VR headset arrows for bow&arrow God of war & Ragnorak video games E-bike.,MALE,13,He is 5â€™6â€  wears size small in shirts and jackets  size 10.5 shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787702,,MALE,4,,MALE,1,,FEMALE,8,,,,,,,,,,,,,,,,,,,,,,
2787189,Play kitchen kitchen accessories  Dress up and at  Baby dolls,FEMALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787131,,MALE,8,Soccer Roblox game,FEMALE,11,Makeup  Clothes,,,,,,,,,,,,,,,,,,,,,,,,
2787088,Minecraft Legos doll house board games (relative insanity) PokÃ©mon Barbie doll fake snow ,MALE,7,,MALE,12,,MALE,9,,FEMALE,6,,,,,,,,,,,,,,,,,,,
2786846,"Boy likes spiderman and bikes; Girl like baby dolls and bikes",FEMALE,6,,MALE,2,,,,,,,,,,,,,,,,,,,,,,,,,
2786651,,MALE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786626,"Boys: shirt-6-7 ; Short: 6-7 shoe: 13-1 needs a belt whether black or brown. Any remote controlled airplane ?? or fire trucks ??; New bedding toddler bed. ; ; Girl; Makeup mirror haircut hair products diffuser straightener ; Clothes- pants; 11 teen shirt M teen show size women 9",FEMALE,14,Makeup  Taylor Swift  five below  target  Sabrina Carpenter  anything that has to do with memorabilia  ring light  fairy lights  new blinds  fluffy cloud rug for room: pink or purple (Ollies/Roses) new Full bed sheets  fitted sheets  comforter.,MALE,6,K-pop demon hunters; bed set- has a toddler bed still. Clothes; shirt- 6-7(sm)  shorts/pants: 6-7  ?? size 13-1  socks  boxer briefs  loves ??  ?  ?. Remote control cars or airplanes. Books on airplanes  coloring books; K-pop demon hunters/airplanes/,,,,,,,,,,,,,,,,,,,,,,,,
2786321,,FEMALE,14,Teenage girl stuff,FEMALE,11,Teenager girl stuff,FEMALE,9,,FEMALE,6,,,,,,,,,,,,,,,,,,,
2786098,Legos or anything like legos clay or playdough set gaming head phones sewing or crochet.,FEMALE,13,She like to craft,FEMALE,11,,,,,,,,,,,,,,,,,,,,,,,,,
2786005,Size 3t for one child. Any learning toys for toddlers,FEMALE,3,Wears a 3t  ghost spider  frozen and moana,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783356,toys that light up high chair baby dolls toys appropriate for girls ,FEMALE,11,,FEMALE,1,,FEMALE,3,Sensory toys,FEMALE,7,,,,,,,,,,,,,,,,,,,
